Gene Name,Transcript Name,Description
Phvul.009G255000,Phvul.009G255000.1,"K17491 - protein phosphatase 4 regulatory subunit 3 (SMEK, PPP4R3)  (1 of 2)"
Phvul.008G274400,Phvul.008G274400.1,K06911 - uncharacterized protein (K06911)  (1 of 3)
Phvul.010G158800,Phvul.010G158800.1,
Phvul.002G111700,Phvul.002G111700.1,"PTHR22884:SF339 - PHD FINGER, SWIB/MDM2 AND GYF DOMAIN-CONTAINING PROTEIN (1 of 2)"
Phvul.009G215400,Phvul.009G215400.1,"K14830 - protein MAK11 (MAK11, PAK1IP1)  (1 of 1)"
Phvul.002G314900,Phvul.002G314900.1,"PTHR11941:SF47 - 3-HYDROXYISOBUTYRYL-COA HYDROLASE-LIKE PROTEIN 3, MITOCHONDRIAL-RELATED (1 of 1)"
Phvul.010G144000,Phvul.010G144000.1,3.4.24.64 - Mitochondrial processing peptidase / Processing enhancing peptidase (1 of 3)
Phvul.002G238600,Phvul.002G238600.1,PF04852 - Protein of unknown function (DUF640) (DUF640)  (1 of 16)
Phvul.001G124500,Phvul.001G124500.2,PTHR11106//PTHR11106:SF64 - GANGLIOSIDE INDUCED DIFFERENTIATION ASSOCIATED PROTEIN 2-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Phvul.002G271500,Phvul.002G271500.2,K00888 - phosphatidylinositol 4-kinase (PI4K)  (1 of 3)
Phvul.007G199500,Phvul.007G199500.8,
Phvul.008G001300,Phvul.008G001300.1,PTHR12741:SF21 - CALLOSE SYNTHASE 3 (1 of 8)
Phvul.008G261200,Phvul.008G261200.1,PTHR33469:SF1 - PROTEIN ELF4-LIKE 1 (1 of 1)
Phvul.006G005800,Phvul.006G005800.4,
Phvul.006G025400,Phvul.006G025400.2,PF00249 - Myb-like DNA-binding domain (Myb_DNA-binding)  (1 of 287)
Phvul.008G082000,Phvul.008G082000.1,"PF04654 - Protein of unknown function, DUF599 (DUF599)  (1 of 10)"
Phvul.001G162400,Phvul.001G162400.1,K12192 - charged multivesicular body protein 2B (CHMP2B)  (1 of 1)
Phvul.005G111400,Phvul.005G111400.1,3.1.7.11 - Geranyl diphosphate diphosphatase / Geranyl pyrophosphate pyrophosphatase (1 of 4)
Phvul.004G032900,Phvul.004G032900.1,5.4.99.5 - Chorismate mutase / Hydroxyphenylpyruvate synthase (1 of 4)
Phvul.005G183500,Phvul.005G183500.1,PTHR31150:SF5 - ZINC ION BINDING PROTEIN (1 of 1)
Phvul.005G065700,Phvul.005G065700.1,PTHR32444:SF13 - COMITIN (1 of 3)
Phvul.008G121800,Phvul.008G121800.1,
Phvul.011G043400,Phvul.011G043400.1,PF03087 - Arabidopsis protein of unknown function (DUF241)  (1 of 23)
Phvul.008G142400,Phvul.008G142400.7,
Phvul.009G020600,Phvul.009G020600.2,PTHR23257:SF375 - RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 1 (1 of 1)
Phvul.002G286700,Phvul.002G286700.5,
Phvul.001G225000,Phvul.001G225000.1,2.5.1.43 - Nicotianamine synthase (1 of 3)
Phvul.001G155251,Phvul.001G155251.1,
Phvul.003G087100,Phvul.003G087100.1,K11267 - sister chromatid cohesion protein PDS5 (PDS5)  (1 of 3)
Phvul.007G210000,Phvul.007G210000.4,
Phvul.011G176400,Phvul.011G176400.1,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1198)
Phvul.005G078100,Phvul.005G078100.9,
Phvul.007G069400,Phvul.007G069400.2,
Phvul.005G163100,Phvul.005G163100.1,PF00560//PF07714//PF12819 - Leucine Rich Repeat (LRR_1)  // Protein tyrosine kinase (Pkinase_Tyr)  // Carbohydrate-binding protein of the ER (Malectin_like)  (1 of 8)
Phvul.008G154900,Phvul.008G154900.2,
Phvul.009G161400,Phvul.009G161400.6,
Phvul.011G045700,Phvul.011G045700.1,"K17261 - adenylyl cyclase-associated protein (CAP1_2, SRV2)  (1 of 1)"
Phvul.008G246500,Phvul.008G246500.1,PTHR23155//PTHR23155:SF554 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 22)
Phvul.011G196066,Phvul.011G196066.1,PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 124)
Phvul.002G042800,Phvul.002G042800.1,
Phvul.004G072300,Phvul.004G072300.1,PTHR10106:SF21 - TRANSMEMBRANE ASCORBATE FERRIREDUCTASE 2-RELATED (1 of 2)
Phvul.007G146900,Phvul.007G146900.1,PF01535//PF13041//PF14432 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  // DYW family of nucleic acid deaminases (DYW_deaminase)  (1 of 79)
Phvul.006G078700,Phvul.006G078700.1,
Phvul.007G272700,Phvul.007G272700.1,PTHR14155//PTHR14155:SF178 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED (1 of 4)
Phvul.002G069400,Phvul.002G069400.2,
Phvul.003G134700,Phvul.003G134700.2,
Phvul.010G086901,Phvul.010G086901.1,1.1.1.79 - Glyoxylate reductase (NADP(+)) (1 of 3)
Phvul.001G215300,Phvul.001G215300.2,PTHR11183//PTHR11183:SF54 - GLYCOGENIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.006G023700,Phvul.006G023700.3,
Phvul.007G153600,Phvul.007G153600.1,PTHR11062:SF56 - XYLOGLUCAN GALACTOSYLTRANSFERASE KATAMARI1 (1 of 2)
Phvul.010G098300,Phvul.010G098300.3,
Phvul.006G113000,Phvul.006G113000.1,
Phvul.002G076000,Phvul.002G076000.1,PF00536 - SAM domain (Sterile alpha motif) (SAM_1)  (1 of 6)
Phvul.003G228200,Phvul.003G228200.1,
Phvul.011G009400,Phvul.011G009400.1,
Phvul.008G206100,Phvul.008G206100.1,
Phvul.011G097100,Phvul.011G097100.1,1.1.1.198 - (+)-borneol dehydrogenase (1 of 6)
Phvul.001G232000,Phvul.001G232000.1,PTHR14217:SF1 - INOSITOL-TETRAKISPHOSPHATE 1-KINASE (1 of 1)
Phvul.010G112700,Phvul.010G112700.2,PTHR23092:SF19 - NUCLEOTIDYLTRANSFERASE (1 of 3)
Phvul.008G256200,Phvul.008G256200.1,KOG1457 - RNA binding protein (contains RRM repeats) (1 of 3)
Phvul.003G135100,Phvul.003G135100.1,"K02218 - casein kinase 1 (CSNK1, CK1)  (1 of 3)"
Phvul.006G075100,Phvul.006G075100.2,"K08851 - TP53 regulating kinase and related kinases [EC:2.7.11.1] (TP53RK, PRPK, BUD32)  (1 of 2)"
Phvul.002G251600,Phvul.002G251600.2,"PTHR31846:SF8 - CRS2-ASSOCIATED FACTOR 1, CHLOROPLASTIC (1 of 3)"
Phvul.002G138900,Phvul.002G138900.2,PF03137 - Organic Anion Transporter Polypeptide (OATP) family (OATP)  (1 of 3)
Phvul.001G234700,Phvul.001G234700.2,1.1.1.206//1.1.1.236 - Tropinone reductase I / Tropinone reductase // Tropinone reductase II / Tropinone reductase (1 of 8)
Phvul.004G107300,Phvul.004G107300.1,PTHR10811//PTHR10811:SF27 - FRINGE-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Phvul.009G177800,Phvul.009G177800.1,K16296 - serine carboxypeptidase-like clade I [EC:3.4.16.-] (SCPL-I)  (1 of 6)
Phvul.002G050500,Phvul.002G050500.2,
Phvul.001G061100,Phvul.001G061100.2,"K11090 - lupus La protein (LA, SSB)  (1 of 2)"
Phvul.002G002100,Phvul.002G002100.1,KOG0884 - Similar to cyclophilin-type peptidyl-prolyl cis-trans isomerase (1 of 4)
Phvul.008G075700,Phvul.008G075700.1,
Phvul.008G203400,Phvul.008G203400.1,"K03133 - transcription initiation factor TFIID subunit 9B (TAF9B, TAF9)  (1 of 2)"
Phvul.002G287500,Phvul.002G287500.1,PTHR32191:SF22 - TETRASPANIN-10 (1 of 1)
Phvul.002G156900,Phvul.002G156900.2,
Phvul.002G329200,Phvul.002G329200.1,PTHR24073:SF486 - RAS-RELATED PROTEIN RABA6A-RELATED (1 of 3)
Phvul.005G127300,Phvul.005G127300.1,PTHR23084//PTHR23084:SF155 - PHOSPHATIDYLINOSITOL-4-PHOSPHATE 5-KINASE RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.011G178250,Phvul.011G178250.1,PTHR22763:SF63 - C3HC4 TYPE ZINC-FINGER PROTEIN-RELATED (1 of 7)
Phvul.005G105000,Phvul.005G105000.2,
Phvul.009G202800,Phvul.009G202800.1,
Phvul.011G172000,Phvul.011G172000.2,
Phvul.008G172800,Phvul.008G172800.1,PTHR23505:SF15 - MAJOR FACILITATOR PROTEIN (1 of 1)
Phvul.009G180700,Phvul.009G180700.1,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1198)
Phvul.009G003600,Phvul.009G003600.1,PTHR23002//PTHR23002:SF65 - ZINC FINGER CCHC DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.002G126000,Phvul.002G126000.1,"1.14.13.28//4.99.1.6 - 3,9-dihydroxypterocarpan 6A-monooxygenase / 3,9-dihydroxypterocarpan 6A-hydroxylase // Indoleacetaldoxime dehydratase / Indoleacetaldoxime hydro-lyase (1 of 1)"
Phvul.001G210300,Phvul.001G210300.2,
Phvul.008G152400,Phvul.008G152400.2,
Phvul.010G104300,Phvul.010G104300.1,PTHR23155//PTHR23155:SF590 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 15)
Phvul.001G185200,Phvul.001G185200.2,
Phvul.009G130400,Phvul.009G130400.1,PF10664 - Cyanobacterial and plastid NDH-1 subunit M (NdhM)  (1 of 1)
Phvul.010G079000,Phvul.010G079000.3,
Phvul.008G166800,Phvul.008G166800.3,
Phvul.008G123500,Phvul.008G123500.3,
Phvul.003G247550,Phvul.003G247550.2,
Phvul.008G039100,Phvul.008G039100.1,K08493 - vesicle transport through interaction with t-SNAREs 1 (VTI1)  (1 of 4)
Phvul.009G192000,Phvul.009G192000.2,"PTHR32227:SF75 - GLUCAN ENDO-1,3-BETA-GLUCOSIDASE-LIKE PROTEIN 2-RELATED (1 of 2)"
Phvul.010G143700,Phvul.010G143700.1,
Phvul.005G177200,Phvul.005G177200.1,PTHR18896:SF11 - PHOSPHOLIPASE D ALPHA 1-RELATED (1 of 5)
Phvul.011G027900,Phvul.011G027900.1,PTHR11802:SF31 - SERINE CARBOXYPEPTIDASE-LIKE 34 (1 of 2)
Phvul.009G008800,Phvul.009G008800.1,KOG2744 - DNA-binding proteins Bright/BRCAA1/RBP1 and related proteins containing BRIGHT domain (1 of 1)
Phvul.001G016900,Phvul.001G016900.1,PTHR13778:SF6 - GALACTURONOSYLTRANSFERASE-LIKE 1-RELATED (1 of 2)
Phvul.006G138600,Phvul.006G138600.1,PF14547 - Hydrophobic seed protein (Hydrophob_seed)  (1 of 17)
Phvul.005G094000,Phvul.005G094000.1,KOG0716 - Molecular chaperone (DnaJ superfamily) (1 of 3)
Phvul.006G080300,Phvul.006G080300.1,3.6.4.8 - Proteasome ATPase / RP triple-A protein (1 of 1)
Phvul.002G090900,Phvul.002G090900.1,K03263 - translation initiation factor 5A (EIF5A)  (1 of 4)
Phvul.007G246500,Phvul.007G246500.4,PTHR10742:SF260 - LYSINE-SPECIFIC HISTONE DEMETHYLASE 1 HOMOLOG 3 (1 of 1)
Phvul.011G189700,Phvul.011G189700.1,KOG2615 - Permease of the major facilitator superfamily (1 of 8)
Phvul.006G123800,Phvul.006G123800.1,PTHR14303:SF0 - DNA POLYMERASE DELTA SUBUNIT 4 (1 of 1)
Phvul.008G171600,Phvul.008G171600.6,
Phvul.002G258900,Phvul.002G258900.2,PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  (1 of 197)
Phvul.003G050100,Phvul.003G050100.1,PTHR23421:SF69 - BETA-GALACTOSIDASE 9 (1 of 1)
Phvul.002G128500,Phvul.002G128500.1,PTHR10381//PTHR10381:SF24 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT // SUBFAMILY NOT NAMED (1 of 1)
Phvul.002G162200,Phvul.002G162200.1,PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  (1 of 197)
Phvul.007G048400,Phvul.007G048400.1,PF15370 - Domain of unknown function (DUF4598) (DUF4598)  (1 of 1)
Phvul.003G200700,Phvul.003G200700.1,2.7.1.33 - Pantothenate kinase / Pantothenic acid kinase (1 of 3)
Phvul.003G173400,Phvul.003G173400.1,PF08847 - Domain of unknown function (DUF1817) (DUF1817)  (1 of 1)
Phvul.005G064800,Phvul.005G064800.1,PTHR31376:SF2 - PURINE PERMEASE 11-RELATED (1 of 3)
Phvul.011G018800,Phvul.011G018800.2,
Phvul.001G235500,Phvul.001G235500.1,PF07800 - Protein of unknown function (DUF1644) (DUF1644)  (1 of 7)
Phvul.003G059600,Phvul.003G059600.1,PTHR19288//PTHR19288:SF3 - 4-NITROPHENYLPHOSPHATASE-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.007G098900,Phvul.007G098900.1,5.4.99.22 - 23S rRNA pseudouridine(2605) synthase (1 of 1)
Phvul.008G216000,Phvul.008G216000.2,
Phvul.009G079300,Phvul.009G079300.4,
Phvul.009G092800,Phvul.009G092800.1,
Phvul.002G089900,Phvul.002G089900.1,
Phvul.009G168300,Phvul.009G168300.2,
Phvul.003G173100,Phvul.003G173100.1,
Phvul.002G081350,Phvul.002G081350.1,
Phvul.008G236000,Phvul.008G236000.3,
Phvul.003G052400,Phvul.003G052400.1,PTHR31062:SF25 - XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 33-RELATED (1 of 1)
Phvul.001G173600,Phvul.001G173600.4,
Phvul.001G157900,Phvul.001G157900.1,K13407 - fatty acid omega-hydroxylase (CYP94A1)  (1 of 3)
Phvul.006G066900,Phvul.006G066900.1,K01963 - acetyl-CoA carboxylase carboxyl transferase subunit beta (accD)  (1 of 2)
Phvul.011G211300,Phvul.011G211300.6,
Phvul.006G094100,Phvul.006G094100.4,
Phvul.006G205400,Phvul.006G205400.2,PTHR32332:SF20 - 2-NITROPROPANE DIOXYGENASE-LIKE PROTEIN (1 of 1)
Phvul.002G287900,Phvul.002G287900.1,PF07714//PF08263 - Protein tyrosine kinase (Pkinase_Tyr)  // Leucine rich repeat N-terminal domain (LRRNT_2)  (1 of 13)
Phvul.001G114300,Phvul.001G114300.1,"K12857 - Prp8 binding protein (SNRNP40, PRP8BP)  (1 of 1)"
Phvul.005G170800,Phvul.005G170800.1,"PTHR21450:SF22 - PROTEIN, PUTATIVE, 48652-45869-RELATED (1 of 1)"
Phvul.010G020500,Phvul.010G020500.1,"K05292 - phosphatidylinositol glycan, class T (PIGT)  (1 of 1)"
Phvul.003G168200,Phvul.003G168200.1,PTHR10891//PTHR10891:SF546 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.003G116600,Phvul.003G116600.1,PTHR21231:SF8 - GPN-LOOP GTPASE 1 (1 of 1)
Phvul.004G063600,Phvul.004G063600.1,PTHR22936:SF4 - RHOMBOID FAMILY PROTEIN (1 of 1)
Phvul.006G022300,Phvul.006G022300.2,
Phvul.009G016600,Phvul.009G016600.2,
Phvul.009G191500,Phvul.009G191500.1,PTHR24089:SF370 - MITOCHONDRIAL SUBSTRATE CARRIER FAMILY PROTEIN (1 of 1)
Phvul.001G161900,Phvul.001G161900.4,2.1.1.103 - Phosphoethanolamine N-methyltransferase (1 of 8)
Phvul.006G123700,Phvul.006G123700.1,PTHR21717:SF27 - TELOMERE REPEAT-BINDING FACTOR 2-RELATED (1 of 3)
Phvul.001G117800,Phvul.001G117800.1,PTHR15245:SF23 - PHOSPHATIDYLINOSITOL 4-KINASE GAMMA 1-RELATED (1 of 1)
Phvul.004G177800,Phvul.004G177800.1,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1198)
Phvul.008G237900,Phvul.008G237900.1,PTHR10953//PTHR10953:SF135 - UBIQUITIN-ACTIVATING ENZYME E1 // SUBFAMILY NOT NAMED (1 of 1)
Phvul.008G014700,Phvul.008G014700.1,PTHR23155:SF402 - DISEASE RESISTANCE PROTEIN RPP13-RELATED (1 of 8)
Phvul.009G145800,Phvul.009G145800.1,PTHR31945:SF6 - TRANSCRIPTION FACTOR BHLH61-RELATED (1 of 2)
Phvul.002G094100,Phvul.002G094100.1,PTHR24326:SF114 - HOMEOBOX-LEUCINE ZIPPER PROTEIN ATHB-17-RELATED (1 of 1)
Phvul.007G233600,Phvul.007G233600.1,PTHR15486//PTHR15486:SF7 - ANCIENT UBIQUITOUS PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.011G092100,Phvul.011G092100.1,PTHR24296:SF7 - CYTOCHROME P450 94C1 (1 of 1)
Phvul.001G155800,Phvul.001G155800.1,
Phvul.010G150200,Phvul.010G150200.1,PTHR12161:SF14 - REGULATOR OF VPS4 (1 of 5)
Phvul.003G222100,Phvul.003G222100.2,K10624 - E3 ubiquitin-protein ligase RBBP6 [EC:6.3.2.19] (RBBP6)  (1 of 1)
Phvul.011G014800,Phvul.011G014800.1,PTHR22953:SF18 - METALLOPHOSPHOESTERASE DOMAIN-CONTAINING PROTEIN (1 of 2)
Phvul.008G083100,Phvul.008G083100.1,
Phvul.002G270000,Phvul.002G270000.1,PTHR13902:SF62 - SERINE/THREONINE-PROTEIN KINASE WNK6-RELATED (1 of 2)
Phvul.005G155500,Phvul.005G155500.1,"PTHR22957:SF26 - PROTEIN TBC-3, ISOFORM B (1 of 2)"
Phvul.010G043700,Phvul.010G043700.9,
Phvul.002G289100,Phvul.002G289100.1,PTHR11588//PTHR11588:SF124 - TUBULIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.007G024400,Phvul.007G024400.1,PTHR31683:SF11 - PECTIN LYASE-LIKE SUPERFAMILY PROTEIN-RELATED (1 of 1)
Phvul.010G127100,Phvul.010G127100.1,"K14301 - nuclear pore complex protein Nup107 (NUP107, NUP84)  (1 of 1)"
Phvul.006G221300,Phvul.006G221300.1,PTHR12620:SF4 - ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 5 (1 of 1)
Phvul.009G070100,Phvul.009G070100.1,"PTHR32487:SF0 - 3-OXO-DELTA(4,5)-STEROID 5-BETA-REDUCTASE (1 of 1)"
Phvul.004G133000,Phvul.004G133000.1,PTHR23024//PTHR23024:SF174 - MEMBER OF 'GDXG' FAMILY OF LIPOLYTIC ENZYMES // SUBFAMILY NOT NAMED (1 of 6)
Phvul.002G128000,Phvul.002G128000.6,
Phvul.002G051200,Phvul.002G051200.1,PTHR13890:SF4 - MAGNESIUM TRANSPORTER MRS2-3 (1 of 4)
Phvul.003G074200,Phvul.003G074200.3,
Phvul.008G214400,Phvul.008G214400.2,
Phvul.005G058700,Phvul.005G058700.1,"PTHR10209//PTHR10209:SF123 - OXIDOREDUCTASE, 2OG-FE II  OXYGENASE FAMILY PROTEIN // SUBFAMILY NOT NAMED (1 of 10)"
Phvul.008G124100,Phvul.008G124100.1,PTHR35301:SF1 - CLAVATA3/ESR (CLE)-RELATED PROTEIN 41-RELATED (1 of 2)
Phvul.009G170600,Phvul.009G170600.2,
Phvul.011G199300,Phvul.011G199300.1,PTHR11783//PTHR11783:SF89 - SULFOTRANSFERASE  SULT // SUBFAMILY NOT NAMED (1 of 19)
Phvul.009G203400,Phvul.009G203400.1,PTHR11945//PTHR11945:SF166 - MADS BOX PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.005G017100,Phvul.005G017100.1,
Phvul.001G100000,Phvul.001G100000.1,
Phvul.008G027600,Phvul.008G027600.1,PTHR13887 - GLUTATHIONE S-TRANSFERASE KAPPA (1 of 3)
Phvul.005G019900,Phvul.005G019900.1,K15687 - E3 ubiquitin-protein ligase makorin [EC:6.3.2.19] (MKRN)  (1 of 3)
Phvul.005G173300,Phvul.005G173300.1,PTHR11751//PTHR11751:SF184 - SUBGROUP I AMINOTRANSFERASE RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.005G033000,Phvul.005G033000.4,
Phvul.005G165700,Phvul.005G165700.1,
Phvul.007G004200,Phvul.007G004200.2,
Phvul.007G078600,Phvul.007G078600.1,
Phvul.002G161400,Phvul.002G161400.1,PTHR31827:SF14 - F22C12.10 (1 of 2)
Phvul.003G145500,Phvul.003G145500.1,"K11098 - small nuclear ribonucleoprotein F (SNRPF, SMF)  (1 of 1)"
Phvul.009G171300,Phvul.009G171300.1,PF14577 - Sieve element occlusion C-terminus (SEO_C)  (1 of 14)
Phvul.011G143500,Phvul.011G143500.2,
Phvul.004G068500,Phvul.004G068500.1,
Phvul.002G083100,Phvul.002G083100.1,K14487 - auxin responsive GH3 gene family (GH3)  (1 of 11)
Phvul.003G052000,Phvul.003G052000.1,PF03181 - BURP domain (BURP)  (1 of 11)
Phvul.009G101500,Phvul.009G101500.1,PTHR24414:SF31 - F-BOX PROTEIN AFR (1 of 1)
Phvul.009G015200,Phvul.009G015200.1,PTHR32295:SF16 - PROTEIN IQ-DOMAIN 32 (1 of 1)
Phvul.010G157700,Phvul.010G157700.1,
Phvul.001G114900,Phvul.001G114900.1,6.3.1.14 - Diphthine--ammonia ligase / Diphthamide synthetase (1 of 1)
Phvul.004G059700,Phvul.004G059700.1,PF08213 - Mitochondrial domain of unknown function (DUF1713) (DUF1713)  (1 of 1)
Phvul.006G094100,Phvul.006G094100.3,
Phvul.001G089200,Phvul.001G089200.2,PTHR31096:SF22 - ACR6 (1 of 1)
Phvul.009G099000,Phvul.009G099000.12,
Phvul.006G101900,Phvul.006G101900.2,
Phvul.007G108800,Phvul.007G108800.1,PTHR11913:SF20 - ACTIN-DEPOLYMERIZING FACTOR 6 (1 of 1)
Phvul.008G203300,Phvul.008G203300.1,PTHR10177:SF253 - CYCLIN-B1-4 (1 of 1)
Phvul.007G094200,Phvul.007G094200.1,4.2.3.5 - Chorismate synthase / 5-enolpyruvylshikimate-3-phosphate phospholyase (1 of 1)
Phvul.009G031900,Phvul.009G031900.4,
Phvul.002G310600,Phvul.002G310600.1,PTHR23500:SF14 - SUGAR TRANSPORT PROTEIN 14 (1 of 3)
Phvul.002G315700,Phvul.002G315700.1,
Phvul.007G114000,Phvul.007G114000.1,2.1.1.150 - Isoflavone 7-O-methyltransferase (1 of 1)
Phvul.002G318800,Phvul.002G318800.1,PTHR22298:SF28 - ENDOGLUCANASE 4-RELATED (1 of 1)
Phvul.007G097500,Phvul.007G097500.1,PF12776 - Myb/SANT-like DNA-binding domain (Myb_DNA-bind_3)  (1 of 47)
Phvul.010G151200,Phvul.010G151200.1,"K17302 - coatomer, subunit beta' (COPB2, SEC27)  (1 of 3)"
Phvul.005G095800,Phvul.005G095800.2,
Phvul.010G116100,Phvul.010G116100.2,"K12893 - splicing factor, arginine/serine-rich 4/5/6 (SFRS4_5_6)  (1 of 3)"
Phvul.005G160900,Phvul.005G160900.1,3.1.3.75 - Phosphoethanolamine/phosphocholine phosphatase / PHOSPHO1 (1 of 7)
Phvul.001G166200,Phvul.001G166200.1,PF00005//PF01061//PF08370 - ABC transporter (ABC_tran)  // ABC-2 type transporter (ABC2_membrane)  // Plant PDR ABC transporter associated (PDR_assoc)  (1 of 1)
Phvul.004G150400,Phvul.004G150400.1,PF13041 - PPR repeat family (PPR_2)  (1 of 466)
Phvul.010G139700,Phvul.010G139700.4,
Phvul.002G182700,Phvul.002G182700.1,"PTHR13794 - ENOLASE SUPERFAMILY, MANDELATE RACEMASE (1 of 1)"
Phvul.008G188400,Phvul.008G188400.4,
Phvul.003G124800,Phvul.003G124800.1,PTHR11654//PTHR11654:SF170 - OLIGOPEPTIDE TRANSPORTER-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.006G193200,Phvul.006G193200.3,
Phvul.006G206000,Phvul.006G206000.1,KOG1546 - Metacaspase involved in regulation of apoptosis (1 of 9)
Phvul.001G169400,Phvul.001G169400.2,
Phvul.005G018200,Phvul.005G018200.1,PTHR15321 - TUMOR SUPPRESSOR P53-BINDING PROTEIN 1 (1 of 1)
Phvul.003G002200,Phvul.003G002200.3,PTHR13140:SF384 - MYOSIN-2 (1 of 4)
Phvul.009G037500,Phvul.009G037500.1,"K02150 - V-type H+-transporting ATPase subunit E (ATPeV1E, ATP6E)  (1 of 4)"
Phvul.007G185100,Phvul.007G185100.2,
Phvul.008G091600,Phvul.008G091600.1,PTHR21495:SF77 - DIRIGENT PROTEIN 19 (1 of 6)
Phvul.006G046600,Phvul.006G046600.1,"PF04885 - Stigma-specific protein, Stig1 (Stig1)  (1 of 7)"
Phvul.008G008400,Phvul.008G008400.3,
Phvul.009G188500,Phvul.009G188500.1,"K10436 - microtubule-associated protein, RP/EB family (MAPRE)  (1 of 2)"
Phvul.004G156088,Phvul.004G156088.1,PTHR12947:SF10 - AMSH-LIKE UBIQUITIN THIOESTERASE 1 (1 of 2)
Phvul.006G064900,Phvul.006G064900.2,
Phvul.011G054200,Phvul.011G054200.6,
Phvul.006G219100,Phvul.006G219100.2,
Phvul.010G132333,Phvul.010G132333.2,
Phvul.003G128133,Phvul.003G128133.1,PTHR23023:SF143 - FLAVIN-CONTAINING MONOOXYGENASE 1-RELATED (1 of 1)
Phvul.010G043400,Phvul.010G043400.1,PTHR23042//PTHR23042:SF57 - CIRCADIAN PROTEIN CLOCK/ARNT/BMAL/PAS // SUBFAMILY NOT NAMED (1 of 13)
Phvul.011G038800,Phvul.011G038800.2,
Phvul.001G203400,Phvul.001G203400.1,"PTHR12419:SF10 - PROTEIN OTUB-3, ISOFORM B (1 of 1)"
Phvul.008G055100,Phvul.008G055100.2,
Phvul.003G000500,Phvul.003G000500.1,3.4.11.18 - Methionyl aminopeptidase / Peptidase M (1 of 7)
Phvul.003G258200,Phvul.003G258200.1,PTHR23336:SF18 - ATP BINDING PROTEIN (1 of 1)
Phvul.011G171522,Phvul.011G171522.1,PTHR14155//PTHR14155:SF146 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED (1 of 1)
Phvul.004G085694,Phvul.004G085694.1,PTHR12663 - ANDROGEN INDUCED INHIBITOR OF PROLIFERATION  AS3  / PDS5-RELATED (1 of 9)
Phvul.007G201900,Phvul.007G201900.1,PTHR31321:SF32 - PECTINESTERASE 52-RELATED (1 of 6)
Phvul.002G226400,Phvul.002G226400.1,"K03857 - phosphatidylinositol glycan, class A (PIGA, GPI3)  (1 of 2)"
Phvul.003G192500,Phvul.003G192500.1,PTHR10024:SF201 - C2 CALCIUM/LIPID-BINDING PLANT PHOSPHORIBOSYLTRANSFERASE-LIKE PROTEIN (1 of 1)
Phvul.006G006700,Phvul.006G006700.6,
Phvul.002G116550,Phvul.002G116550.2,
Phvul.001G067500,Phvul.001G067500.2,
Phvul.002G197800,Phvul.002G197800.2,
Phvul.001G057800,Phvul.001G057800.1,PTHR22166:SF12 - PROTEIN LUNAPARK (1 of 2)
Phvul.010G034901,Phvul.010G034901.1,PF09335 - SNARE associated Golgi protein (SNARE_assoc)  (1 of 12)
Phvul.001G213600,Phvul.001G213600.1,PF03106 - WRKY DNA -binding domain (WRKY)  (1 of 91)
Phvul.008G228200,Phvul.008G228200.1,PTHR32175:SF2 - SURFEIT LOCUS PROTEIN 2 (1 of 1)
Phvul.011G097950,Phvul.011G097950.1,
Phvul.003G065800,Phvul.003G065800.1,PF12776 - Myb/SANT-like DNA-binding domain (Myb_DNA-bind_3)  (1 of 47)
